purple, [ˋpɝp!] adj. 紫色的
purpose, [ˋpɝpəs] n. 目的
paper, [ˋpepɚ] n. 紙
push, [pʊʃ] vt. 推
parent, [ˋpɛrənt] n. 雙親之一
put, [pʊt] vt. 放
park, [pɑrk] (1) n. 公園 (2) vt. vi. 停車
queen, [ˋkwin] n. 女王
part, [pɑrt] (1) n.一部分(2) vt.使分開
question, [ˋkwɛstʃən] n. 問題
party, [ˋpɑrtɪ] n. 派對
quick, [kwɪk] adj. adv.快(的)
pass, [pæ s] vi. vt. 經過
quiet, [ˋkwaɪət] adj. 安靜的
past, [pæ st] (1)prep.經過(2)n.往昔 adj.過去的
quite, [kwaɪt] adv. 相當；很
pay, [ˋpe(mənt)] vt. vi. n.支付；薪水
race, [res] (1) vt. vi. n.競賽 (2) n. 種族
radio, [ˋredɪ͵o] n. 收音機
pen, [pɛn] n. 筆
railroad, [ˋrel͵rod] n. 鐵路
pencil, [ˋpɛns!] n. 鉛筆
rain, [ren] n. 雨
people, [ˋpip!] n. 人們
rainbow, [ˋren͵bo] n. 彩虹
perhaps, [pɚˋhæps] adv. 大概
raise, [rez] vt. 舉起
person, [ˋpɝsn] n. 人
rat, [ræ t] n. 老鼠
pet, [pɛt] n. 寵物
reach, [ritʃ] vt. vi. 抵達；伸出手或腳
piano, [pɪˋæno] n. 鋼琴
read, [rid] vt. 閱讀
picture, [ˋpɪktʃɚ] n. 圖像
ready, [ˋrɛdɪ] adj. 準備好的
pie, [paɪ] n. 派
real, [ˋriəl] adj. 真的：衷心的
piece, [pis] n. 一片
reason, [ˋrizn] n. 理由
receive, [rɪˋsiv] vt. 接收
seem, [sim] vi. 似乎
red, [rɛd] adj. 紅色的
seesaw, [ˋsi͵sɔ] n. 蹺蹺板
remember, [rɪˋmɛmbɚ] vt. vi. 記得
self, [sɛlf] n. 自己
report, [rɪˋport] n. 報告
selfish, [ˋsɛlfɪʃ] adj. 自私的
rest, [rɛst] vi. 休息
